city,country,lon,lat,temp,max_temp,min_temp,humidity,cloudiness,WindSpeed,Date
Maubin,MM,95.65,16.73,80.6,80.6,80.6,83,20,3.36,1538179200
Humaita,AR,-65.37,-24.93,80.08,82.4,77,57,40,5.82,1538179200
Leningradskiy,RU,178.42,69.38,42,42,42,91,88,16.8,1538180810
Biak,ID,122.88,-0.91,76.47,76.47,76.47,100,48,3.94,1538180964
Banjar,ID,108.54,-7.37,69.45,69.45,69.45,93,56,3.6,1538180965
Ninghai,CN,121.42,29.29,71.6,71.6,71.6,73,20,13.42,1538175600
Bathsheba,BB,-59.52,13.22,82.4,82.4,82.4,74,20,21.92,1538179200
Luderitz,NA,15.16,-26.65,58.29,58.29,58.29,68,8,17.13,1538180965
Sao Joao do Paraiso,BR,-42.01,-15.31,71.88,71.88,71.88,46,0,8.19,1538180965
Kidal,ML,1.41,18.44,75.39,75.39,75.39,42,0,4.38,1538180965
Pangnirtung,CA,-65.72,66.15,30.48,30.48,30.48,90,80,10.2,1538180965
Hualmay,PE,-77.61,-11.1,61.71,61.71,61.71,84,8,4.16,1538180965
Yoichi,JP,140.77,43.19,59.19,59.19,59.19,98,8,2.15,1538180966
Marevo,BA,18.7,43.57,41,41,41,93,0,2.24,1538179200
Zhigansk,RU,123.37,66.77,33.81,33.81,33.81,100,44,5.73,1538180966
Shawnee,US,-96.93,35.33,67.95,71.06,64.4,80,90,10.29,1538178960
Achacachi,BO,-68.68,-16.04,39.66,39.66,39.66,85,80,2.37,1538180966
Ugoofaaru,MV,73,5.67,80.88,80.88,80.88,100,88,19.37,1538180966
Vao,EE,26.19,59.1,37.14,37.14,37.14,83,0,5.61,1538180967
Peace River,CA,-117.29,56.23,44.6,44.6,44.6,26,20,6.93,1538179200
Batavia,US,-78.19,43,61.93,64.94,57.92,77,90,11.41,1538180400
Nizhnyaya Poyma,RU,97.2,56.16,36.06,36.06,36.06,87,0,7.18,1538180967
